X	y
-1.000000000000000000e+01	1.020795771156177922e+00
-9.949999999999999289e+00	1.009021612409185087e+00
-9.899999999999998579e+00	9.972752644219919915e-01
-9.849999999999997868e+00	9.855819330861612659e-01
-9.799999999999997158e+00	9.739704682768881572e-01
-9.749999999999996447e+00	9.624678892956071152e-01
-9.699999999999995737e+00	9.510987476150463138e-01
-9.649999999999995026e+00	9.398883995547594461e-01
-9.599999999999994316e+00	9.288607342338929262e-01
-9.549999999999993605e+00	9.180398320925234890e-01
-9.499999999999992895e+00	9.074472117242535774e-01
-9.449999999999992184e+00	8.971046679269404356e-01
-9.399999999999991473e+00	8.870331282383250304e-01
-9.349999999999990763e+00	8.772517660068093193e-01
-9.299999999999990052e+00	8.677779023758056542e-01
-9.249999999999989342e+00	8.586303362525850025e-01
-9.199999999999988631e+00	8.498247196728069275e-01
-9.149999999999987921e+00	8.413744845006475570e-01
-9.099999999999987210e+00	8.332956710845689230e-01
-9.049999999999986500e+00	8.256006223155578638e-01
-8.999999999999985789e+00	8.182997470655432037e-01
-8.949999999999985079e+00	8.114039183477740336e-01
-8.899999999999984368e+00	8.049211794186783564e-01
-8.849999999999983658e+00	7.988609176969075909e-01
-8.799999999999982947e+00	7.932288009044825561e-01
-8.749999999999982236e+00	7.880305225679098413e-01
-8.699999999999981526e+00	7.832708939803104675e-01
-8.649999999999980815e+00	7.789531234819988548e-01
-8.599999999999980105e+00	7.750775436588428491e-01
-8.549999999999979394e+00	7.716463531677814069e-01
-8.499999999999978684e+00	7.686611541309542606e-01
-8.449999999999977973e+00	7.661180308978439157e-01
-8.399999999999977263e+00	7.640167538308012540e-01
-8.349999999999976552e+00	7.623531192315677885e-01
-8.299999999999975842e+00	7.611219951075991474e-01
-8.249999999999975131e+00	7.603230060379381205e-01
-8.199999999999974420e+00	7.599466313393319350e-01
-8.149999999999973710e+00	7.599877227012040715e-01
-8.099999999999972999e+00	7.604391171677138406e-01
-8.049999999999972289e+00	7.612946739871762070e-01
-7.999999999999971578e+00	7.625442749613894344e-01
-7.949999999999970868e+00	7.641804975308463810e-01
-7.899999999999970157e+00	7.661946645447983428e-01
-7.849999999999969447e+00	7.685751743821723769e-01
-7.799999999999968736e+00	7.713159331078520697e-01
-7.749999999999968026e+00	7.744047027885649914e-01
-7.699999999999967315e+00	7.778327663532043079e-01
-7.649999999999966604e+00	7.815888979894706212e-01
-7.599999999999965894e+00	7.856644900974754098e-01
-7.549999999999965183e+00	7.900489311041403173e-01
-7.499999999999964473e+00	7.947322190416946652e-01
-7.449999999999963762e+00	7.997062294134151816e-01
-7.399999999999963052e+00	8.049609189218469574e-01
-7.349999999999962341e+00	8.104874655362666047e-01
-7.299999999999961631e+00	8.162777924210679048e-01
-7.249999999999960920e+00	8.223249367210891947e-01
-7.199999999999960210e+00	8.286197901859181369e-01
-7.149999999999959499e+00	8.351578135622685917e-01
-7.099999999999958789e+00	8.419305946988797640e-01
-7.049999999999958078e+00	8.489345876658472845e-01
-6.999999999999957367e+00	8.561646605127595233e-01
-6.949999999999956657e+00	8.636177091150911700e-01
-6.899999999999955946e+00	8.712902603973027293e-01
-6.849999999999955236e+00	8.791797468258547577e-01
-6.799999999999954525e+00	8.872858557507909971e-01
-6.749999999999953815e+00	8.956075282550532979e-01
-6.699999999999953104e+00	9.041461222277864529e-01
-6.649999999999952394e+00	9.129021096431761961e-01
-6.599999999999951683e+00	9.218791985703214120e-01
-6.549999999999950973e+00	9.310797325349391418e-01
-6.499999999999950262e+00	9.405085209408501346e-01
-6.449999999999949551e+00	9.501698360839208046e-01
-6.399999999999948841e+00	9.600705276905014962e-01
-6.349999999999948130e+00	9.702168946135543148e-01
-6.299999999999947420e+00	9.806162083402916174e-01
-6.249999999999946709e+00	9.912778001111890447e-01
-6.199999999999945999e+00	1.002210344606243808e+00
-6.149999999999945288e+00	1.013422935894353172e+00
-6.099999999999944578e+00	1.024925439403119531e+00
-6.049999999999943867e+00	1.036729934391421137e+00
-5.999999999999943157e+00	1.048847394439318625e+00
-5.949999999999942446e+00	1.061288571151231430e+00
-5.899999999999941735e+00	1.074066057756120962e+00
-5.849999999999941025e+00	1.087191126425359089e+00
-5.799999999999940314e+00	1.100676672672415979e+00
-5.749999999999939604e+00	1.114535816830915405e+00
-5.699999999999938893e+00	1.128778565851803251e+00
-5.649999999999938183e+00	1.143418073095861187e+00
-5.599999999999937472e+00	1.158466721174275627e+00
-5.549999999999936762e+00	1.173934247749190085e+00
-5.499999999999936051e+00	1.189833233746097729e+00
-5.449999999999935341e+00	1.206172330513460622e+00
-5.399999999999934630e+00	1.222961643863651027e+00
-5.349999999999933920e+00	1.240210064869880613e+00
-5.299999999999933209e+00	1.257924638293564712e+00
-5.249999999999932498e+00	1.276113171023478543e+00
-5.199999999999931788e+00	1.294780057097898673e+00
-5.149999999999931077e+00	1.313930315589726394e+00
-5.099999999999930367e+00	1.333566382730161592e+00
-5.049999999999929656e+00	1.353689570522913499e+00
-4.999999999999928946e+00	1.374299706026330892e+00
-4.949999999999928235e+00	1.395395478326082683e+00
-4.899999999999927525e+00	1.416971861125615018e+00
-4.849999999999926814e+00	1.439024986363203418e+00
-4.799999999999926104e+00	1.461545271096295950e+00
-4.749999999999925393e+00	1.484525536451660965e+00
-4.699999999999924682e+00	1.507951685858555102e+00
-4.649999999999923972e+00	1.531811136741047630e+00
-4.599999999999923261e+00	1.556087634030917544e+00
-4.549999999999922551e+00	1.580762746276909381e+00
-4.499999999999921840e+00	1.605814515837531431e+00
-4.449999999999921130e+00	1.631220592190327334e+00
-4.399999999999920419e+00	1.656955241024927972e+00
-4.349999999999919709e+00	1.682989507882337810e+00
-4.299999999999918998e+00	1.709293635247894017e+00
-4.249999999999918288e+00	1.735833910639379418e+00
-4.199999999999917577e+00	1.762573862007796643e+00
-4.149999999999916866e+00	1.789476325695482650e+00
-4.099999999999916156e+00	1.816500115709188901e+00
-4.049999999999915445e+00	1.843602046837746755e+00
-3.999999999999914735e+00	1.870736218647977900e+00
-3.949999999999914024e+00	1.897854892774431868e+00
-3.899999999999913314e+00	1.924907072492942905e+00
-3.849999999999912603e+00	1.951840954293149855e+00
-3.799999999999911893e+00	1.978601542970823246e+00
-3.749999999999911182e+00	2.005131242615846965e+00
-3.699999999999910472e+00	2.031371121553635639e+00
-3.649999999999909761e+00	2.057261416003253629e+00
-3.599999999999909051e+00	2.082737887735721216e+00
-3.549999999999908340e+00	2.107736586492054975e+00
-3.499999999999907629e+00	2.132191287128202717e+00
-3.449999999999906919e+00	2.156035122925648917e+00
-3.399999999999906208e+00	2.179198135870701325e+00
-3.349999999999905498e+00	2.201611256007922179e+00
-3.299999999999904787e+00	2.223202715517370365e+00
-3.249999999999904077e+00	2.243900250656375661e+00
-3.199999999999903366e+00	2.263632548910667897e+00
-3.149999999999902656e+00	2.282325523851238103e+00
