X	y
-1.000000000000000000e+01	-9.207741548606691584e-01
-9.949999999999999289e+00	-9.547301461673233236e-01
-9.899999999999998579e+00	-9.761329467174839625e-01
-9.849999999999997868e+00	-9.876085823847565726e-01
-9.799999999999997158e+00	-9.910726371668570067e-01
-9.749999999999996447e+00	-9.876230843026930772e-01
-9.699999999999995737e+00	-9.775054500271165292e-01
-9.649999999999995026e+00	-9.601623752308550142e-01
-9.599999999999994316e+00	-9.343648046097561277e-01
-9.549999999999993605e+00	-8.983987289796613318e-01
-9.499999999999992895e+00	-8.503090615735646729e-01
-9.449999999999992184e+00	-7.881744209267964596e-01
-9.399999999999991473e+00	-7.103889879258964424e-01
-9.349999999999990763e+00	-6.159290301840931736e-01
-9.299999999999990052e+00	-5.045902402540333176e-01
-9.249999999999989342e+00	-3.771646027097607101e-01
-9.199999999999988631e+00	-2.355526554480955326e-01
-9.149999999999987921e+00	-8.279721460615420414e-02
-9.099999999999987210e+00	7.696798026131219939e-02
-9.049999999999986500e+00	2.386579809885124026e-01
-8.999999999999985789e+00	3.964435344431342378e-01
-8.949999999999985079e+00	5.440404803294309755e-01
-8.899999999999984368e+00	6.750394695373990173e-01
-8.849999999999983658e+00	7.832795129754483998e-01
-8.799999999999982947e+00	8.632238558683004159e-01
-8.749999999999982236e+00	9.103329885925304232e-01
-8.699999999999981526e+00	9.213976267706154299e-01
-8.649999999999980815e+00	8.948069533344646942e-01
-8.599999999999980105e+00	8.307437573180205259e-01
-8.549999999999979394e+00	7.312693654674188304e-01
-8.499999999999978684e+00	6.003030853540556322e-01
-8.449999999999977973e+00	4.434832136109837508e-01
-8.399999999999977263e+00	2.679108298164885049e-01
-8.349999999999976552e+00	8.178829882916849314e-02
-8.299999999999975842e+00	-1.060221485302731415e-01
-8.249999999999975131e+00	-2.865001233995725372e-01
-8.199999999999974420e+00	-4.510016837386577881e-01
-8.149999999999973710e+00	-5.917720411226236044e-01
-8.099999999999972999e+00	-7.024320863531230419e-01
-8.049999999999972289e+00	-7.783710600428126458e-01
-7.999999999999971578e+00	-8.170508350955701937e-01
-7.949999999999970868e+00	-8.181740276728668437e-01
-7.899999999999970157e+00	-7.837268193428622576e-01
-7.849999999999969447e+00	-7.178718638602309410e-01
-7.799999999999968736e+00	-6.267333646641711775e-01
-7.749999999999968026e+00	-5.180421038065626815e-01
-7.699999999999967315e+00	-4.007228044148833934e-01
-7.649999999999966604e+00	-2.843933430974330823e-01
-7.599999999999965894e+00	-1.788555699661393827e-01
-7.549999999999965183e+00	-9.357381676699816353e-02
-7.499999999999964473e+00	-3.718665343819949065e-02
-7.449999999999963762e+00	-1.707516466481751038e-02
-7.399999999999963052e+00	-3.899606718773873659e-02
-7.349999999999962341e+00	-1.068098419318150860e-01
-7.299999999999961631e+00	-2.222944606527581524e-01
-7.249999999999960920e+00	-3.850636504490141387e-01
-7.199999999999960210e+00	-5.925769609644958580e-01
-7.149999999999959499e+00	-8.402388981062729467e-01
-7.099999999999958789e+00	-1.121583126965383759e+00
-7.049999999999958078e+00	-1.428529491580583732e+00
-6.999999999999957367e+00	-1.751692440944839113e+00
-6.949999999999956657e+00	-2.080749459370927035e+00
-6.899999999999955946e+00	-2.404826651155771433e+00
-6.849999999999955236e+00	-2.712916299873791459e+00
-6.799999999999954525e+00	-2.994282002910345852e+00
-6.749999999999953815e+00	-3.238858395317275374e+00
-6.699999999999953104e+00	-3.437615010754449418e+00
-6.649999999999952394e+00	-3.582875321225625243e+00
-6.599999999999951683e+00	-3.668572536563361908e+00
-6.549999999999950973e+00	-3.690439318015594328e+00
-6.499999999999950262e+00	-3.646111010176538159e+00
-6.449999999999949551e+00	-3.535151661291088487e+00
-6.399999999999948841e+00	-3.358993293986753059e+00
-6.349999999999948130e+00	-3.120805676554142760e+00
-6.299999999999947420e+00	-2.825296691774513480e+00
-6.249999999999946709e+00	-2.478463488474934806e+00
-6.199999999999945999e+00	-2.087320052489717082e+00
-6.149999999999945288e+00	-1.659602520034659356e+00
-6.099999999999944578e+00	-1.203494221770826655e+00
-6.049999999999943867e+00	-7.273660167982610725e-01
-5.999999999999943157e+00	-2.395596640375682318e-01
-5.949999999999942446e+00	2.517768104370488036e-01
-5.899999999999941735e+00	7.388163054302060440e-01
-5.849999999999941025e+00	1.214122379275708097e+00
-5.799999999999940314e+00	1.670689795987456705e+00
-5.749999999999939604e+00	2.101956795794375221e+00
-5.699999999999938893e+00	2.501812104358190680e+00
-5.649999999999938183e+00	2.864610816062883369e+00
-5.599999999999937472e+00	3.185203635647077203e+00
-5.549999999999936762e+00	3.459003737055941663e+00
-5.499999999999936051e+00	3.682079976428227930e+00
-5.449999999999935341e+00	3.851279040018077637e+00
-5.399999999999934630e+00	3.964370419194915396e+00
-5.349999999999933920e+00	4.020186272567025654e+00
-5.299999999999933209e+00	4.018752851672227067e+00
-5.249999999999932498e+00	3.961379101835894367e+00
-5.199999999999931788e+00	3.850696020940557407e+00
-5.149999999999931077e+00	3.690623258440790089e+00
-5.099999999999930367e+00	3.486261046843967648e+00
-5.049999999999929656e+00	3.243703677338537261e+00
-4.999999999999928946e+00	2.969783503000397396e+00
-4.949999999999928235e+00	2.671760302103622031e+00
-4.899999999999927525e+00	2.356975978301779850e+00
-4.849999999999926814e+00	2.032502723527368271e+00
-4.799999999999926104e+00	1.704807753246349478e+00
-4.749999999999925393e+00	1.379462751240433827e+00
-4.699999999999924682e+00	1.060923037117771806e+00
-4.649999999999923972e+00	7.523881906417535514e-01
-4.599999999999923261e+00	4.557592060184181282e-01
-4.549999999999922551e+00	1.716949528533810998e-01
-4.499999999999921840e+00	-1.002399086592935529e-01
-4.449999999999921130e+00	-3.613483463368409865e-01
-4.399999999999920419e+00	-6.135095007792756849e-01
-4.349999999999919709e+00	-8.588560466922903203e-01
-4.299999999999918998e+00	-1.099436777043777180e+00
-4.249999999999918288e+00	-1.336902471515161617e+00
-4.199999999999917577e+00	-1.572233115614867893e+00
-4.149999999999916866e+00	-1.805534795214325472e+00
-4.099999999999916156e+00	-2.035922627796630024e+00
-4.049999999999915445e+00	-2.261496170221680480e+00
-3.999999999999914735e+00	-2.479414863180074313e+00
-3.949999999999914024e+00	-2.686062331211541032e+00
-3.899999999999913314e+00	-2.877289449649450326e+00
-3.849999999999912603e+00	-3.048709049747477362e+00
-3.799999999999911893e+00	-3.196025130332686981e+00
-3.749999999999911182e+00	-3.315357407549482271e+00
-3.699999999999910472e+00	-3.403543720601126754e+00
-3.649999999999909761e+00	-3.458383070398218795e+00
-3.599999999999909051e+00	-3.478808467692103168e+00
-3.549999999999908340e+00	-3.464967630272557386e+00
-3.499999999999907629e+00	-3.418211369679514000e+00
-3.449999999999906919e+00	-3.340987966852354329e+00
-3.399999999999906208e+00	-3.236658141521340237e+00
-3.349999999999905498e+00	-3.109246305110548114e+00
-3.299999999999904787e+00	-2.963152291651369730e+00
-3.249999999999904077e+00	-2.802851869489441761e+00
-3.199999999999903366e+00	-2.632608746266617228e+00
-3.149999999999902656e+00	-2.456228697511122494e+00
-3.099999999999901945e+00	-2.276873011036739225e+00
-3.049999999999901235e+00	-2.096946234008435717e+00
-2.999999999999900524e+00	-1.918067111545717518e+00
-2.949999999999899813e+00	-1.741122469633871628e+00
-2.899999999999899103e+00	-1.566395721552858777e+00
-2.849999999999898392e+00	-1.393752763682722717e+00
-2.799999999999897682e+00	-1.222870373742455108e+00
-2.749999999999896971e+00	-1.053479219621538121e+00
-2.699999999999896261e+00	-8.855969483938288533e-01
-2.649999999999895550e+00	-7.197298882216603966e-01
-2.599999999999894840e+00	-5.570193140291636036e-01
-2.549999999999894129e+00	-3.993181987897145846e-01
-2.499999999999893419e+00	-2.491913742908173635e-01
-2.449999999999892708e+00	-1.098312670674445740e-01
-2.399999999999891998e+00	1.509720993368063313e-02
-2.349999999999891287e+00	1.216756375851811567e-01
-2.299999999999890576e+00	2.059964959131997397e-01
-2.249999999999889866e+00	2.644471957596727374e-01
-2.199999999999889155e+00	2.939940763599786511e-01
-2.149999999999888445e+00	2.924428597244638217e-01
-2.099999999999887734e+00	2.586571730711920702e-01
-2.049999999999887024e+00	1.927135000255556507e-01
-1.999999999999886313e+00	9.598944626792249579e-02
-1.949999999999885603e+00	-2.882371305076492085e-02
-1.899999999999884892e+00	-1.777836304090625319e-01
-1.849999999999884182e+00	-3.458288072567399229e-01
-1.799999999999883471e+00	-5.269726135336691986e-01
-1.749999999999882760e+00	-7.145451052777288536e-01
-1.699999999999882050e+00	-9.014778528043165817e-01
-1.649999999999881339e+00	-1.080606910092043904e+00
-1.599999999999880629e+00	-1.244990704354429045e+00
-1.549999999999879918e+00	-1.388222636309597524e+00
-1.499999999999879208e+00	-1.504724469096299089e+00
-1.449999999999878497e+00	-1.590006911531492095e+00
-1.399999999999877787e+00	-1.640881956709299372e+00
-1.349999999999877076e+00	-1.655613973355051671e+00
-1.299999999999876366e+00	-1.633997588458008465e+00
-1.249999999999875655e+00	-1.577352650081882635e+00
-1.199999999999874944e+00	-1.488435465362283328e+00
-1.149999999999874234e+00	-1.371264992124114235e+00
-1.099999999999873523e+00	-1.230874407488553812e+00
-1.049999999999872813e+00	-1.073003911291788404e+00
-9.999999999998721023e-01	-9.037517143368963835e-01
-9.499999999998713918e-01	-7.292131435817478247e-01
-8.999999999998706812e-01	-5.551321484284087449e-01
-8.499999999998699707e-01	-3.865922470287014301e-01
-7.999999999998692601e-01	-2.277694632428006738e-01
-7.499999999998685496e-01	-8.176527660320909163e-02
-6.999999999998678391e-01	4.947162221081091715e-02
-6.499999999998671285e-01	1.651370594116108315e-01
-5.999999999998664180e-01	2.654823871708094085e-01
-5.499999999998657074e-01	3.516617821558000179e-01
-4.999999999998649969e-01	4.255389021501835289e-01
-4.499999999998642863e-01	4.894754996110963763e-01
-3.999999999998635758e-01	5.461244103062055100e-01
-3.499999999998628653e-01	5.982490205195221122e-01
-2.999999999998621547e-01	6.485796277296804746e-01
-2.499999999998614442e-01	6.997117904180240044e-01
-1.999999999998607336e-01	7.540452824600123449e-01
-1.499999999998600231e-01	8.137526219777464487e-01
-9.999999999985931254e-02	8.807609002427754241e-01
-4.999999999985860200e-02	9.567292263419123755e-01
1.421085471520200372e-13	1.043007924653274410e+00
5.000000000014281909e-02	1.140562760328691416e+00
1.000000000001435296e-01	1.249862292980058021e+00
1.500000000001442402e-01	1.370733221224827769e+00
2.000000000001449507e-01	1.502193736946736191e+00
2.500000000001456613e-01	1.642289422243713659e+00
3.000000000001463718e-01	1.787958085742738845e+00
3.500000000001470823e-01	1.934953733682717836e+00
4.000000000001477929e-01	2.077855527374713240e+00
4.500000000001485034e-01	2.210184143669450929e+00
5.000000000001492140e-01	2.324634544274557513e+00
5.500000000001499245e-01	2.413423958851439011e+00
6.000000000001506351e-01	2.468735644907598115e+00
6.500000000001513456e-01	2.483231667304385493e+00
7.000000000001520561e-01	2.450588567447800070e+00
7.500000000001527667e-01	2.366014413834900854e+00
8.000000000001534772e-01	2.226693291893519167e+00
8.500000000001541878e-01	2.032114029056740989e+00
9.000000000001548983e-01	1.784248031399379819e+00
9.500000000001556089e-01	1.487557575352643768e+00
1.000000000000156319e+00	1.148822629352660885e+00
1.050000000000157030e+00	7.768082529701121342e-01
1.100000000000157740e+00	3.817908529747367496e-01
1.150000000000158451e+00	-2.500696093516230345e-02
1.200000000000159162e+00	-4.320308271055631755e-01
1.250000000000159872e+00	-8.280035856575947983e-01
1.300000000000160583e+00	-1.202479678587982770e+00
1.350000000000161293e+00	-1.546305877021360242e+00
1.400000000000162004e+00	-1.851959875744738637e+00
1.450000000000162714e+00	-2.113747196734422573e+00
1.500000000000163425e+00	-2.327860933411380895e+00
1.550000000000164135e+00	-2.492312836803205034e+00
1.600000000000164846e+00	-2.606758912487290303e+00
1.650000000000165556e+00	-2.672252397563673387e+00
1.700000000000166267e+00	-2.690952776921692546e+00
1.750000000000166978e+00	-2.665830409534921230e+00
1.800000000000167688e+00	-2.600390251253075213e+00
1.850000000000168399e+00	-2.498438749052005026e+00
1.900000000000169109e+00	-2.363914584024764398e+00
1.950000000000169820e+00	-2.200781685515213582e+00
2.000000000000170530e+00	-2.012990360681761626e+00
2.050000000000171241e+00	-1.804495633211868677e+00
2.100000000000171951e+00	-1.579316649486312230e+00
2.150000000000172662e+00	-1.341624348491530005e+00
2.200000000000173372e+00	-1.095834177049636704e+00
2.250000000000174083e+00	-8.466861278223074549e-01
2.300000000000174794e+00	-5.992910974372056554e-01
2.350000000000175504e+00	-3.591337703305254037e-01
2.400000000000176215e+00	-1.320168081719682585e-01
2.450000000000176925e+00	7.605585808838608020e-02
2.500000000000177636e+00	2.590536334387336659e-01
2.550000000000178346e+00	4.111475947562290290e-01
2.600000000000179057e+00	5.269743765393365420e-01
2.650000000000179767e+00	6.019186377508428665e-01
2.700000000000180478e+00	6.323906377361175890e-01
2.750000000000181188e+00	6.160732338083773074e-01
2.800000000000181899e+00	5.521188984276697020e-01
2.850000000000182609e+00	4.412721023768202411e-01
2.900000000000183320e+00	2.859039881604438227e-01
2.950000000000184031e+00	8.995259491479157266e-02
3.000000000000184741e+00	-1.412311620921772315e-01
3.050000000000185452e+00	-4.011282290574201825e-01
3.100000000000186162e+00	-6.823637894042147156e-01
3.150000000000186873e+00	-9.770707337830707440e-01
3.200000000000187583e+00	-1.277280409694316443e+00
3.250000000000188294e+00	-1.575309780260698567e+00
3.300000000000189004e+00	-1.864124494511296248e+00
3.350000000000189715e+00	-2.137647922290416336e+00
3.400000000000190425e+00	-2.391006469055583672e+00
3.450000000000191136e+00	-2.620690863427987516e+00
3.500000000000191847e+00	-2.824631346226540884e+00
3.550000000000192557e+00	-3.002182310573235924e+00
3.600000000000193268e+00	-3.154021221864090840e+00
3.650000000000193978e+00	-3.281975424481238690e+00
3.700000000000194689e+00	-3.388783691472802229e+00
3.750000000000195399e+00	-3.477809451653612438e+00
3.800000000000196110e+00	-3.552729990887755207e+00
3.850000000000196820e+00	-3.617209770419835824e+00
3.900000000000197531e+00	-3.674591029234549389e+00
3.950000000000198241e+00	-3.727607311591272676e+00
4.000000000000198952e+00	-3.778147718189333926e+00
4.050000000000199663e+00	-3.827081835096270090e+00
4.100000000000200373e+00	-3.874160956627305197e+00
4.150000000000201084e+00	-3.918001621583910854e+00
4.200000000000201794e+00	-3.956155363693738547e+00
4.250000000000202505e+00	-3.985267409811050321e+00
4.300000000000203215e+00	-4.001305987196767333e+00
4.350000000000203926e+00	-3.999861561548771149e+00
4.400000000000204636e+00	-3.976489089925366649e+00
4.450000000000205347e+00	-3.927071624609847600e+00
4.500000000000206057e+00	-3.848188166350321904e+00
4.550000000000206768e+00	-3.737445196125035451e+00
4.600000000000207478e+00	-3.593762792137540352e+00
4.650000000000208189e+00	-3.417581665126023793e+00
4.700000000000208900e+00	-3.210980537947007551e+00
4.750000000000209610e+00	-2.977688646158510810e+00
4.800000000000210321e+00	-2.722992950652495470e+00
4.850000000000211031e+00	-2.453539227773624987e+00
4.900000000000211742e+00	-2.177045686575056482e+00
4.950000000000212452e+00	-1.901936308172794021e+00
5.000000000000213163e+00	-1.636926540522232187e+00
5.050000000000213873e+00	-1.390580708604985505e+00
5.100000000000214584e+00	-1.170873267147952479e+00
5.150000000000215294e+00	-9.847791057401911186e-01
5.200000000000216005e+00	-8.379169888678597022e-01
5.250000000000216716e+00	-7.342714982467353213e-01
5.300000000000217426e+00	-6.760019546191600170e-01
5.350000000000218137e+00	-6.633479914068760586e-01
5.400000000000218847e+00	-6.946407658299791343e-01
5.450000000000219558e+00	-7.664034372622487989e-01
5.500000000000220268e+00	-8.735423457632984778e-01
5.550000000000220979e+00	-1.009602034138887827e+00
5.600000000000221689e+00	-1.167078451632250990e+00
5.650000000000222400e+00	-1.337761685033427739e+00
5.700000000000223110e+00	-1.513093394368111300e+00
5.750000000000223821e+00	-1.684519071716668259e+00
5.800000000000224532e+00	-1.843825251077827687e+00
5.850000000000225242e+00	-1.983442981262444338e+00
5.900000000000225953e+00	-2.096709824105854381e+00
5.950000000000226663e+00	-2.178087545020807259e+00
6.000000000000227374e+00	-2.223331148565460325e+00
6.050000000000228084e+00	-2.229601616763083882e+00
6.100000000000228795e+00	-2.195527602289712554e+00
6.150000000000229505e+00	-2.121211402983803396e+00
6.200000000000230216e+00	-2.008182764190502123e+00
6.250000000000230926e+00	-1.859297495768302610e+00
6.300000000000231637e+00	-1.678585167946144541e+00
6.350000000000232347e+00	-1.471048857357540429e+00
6.400000000000233058e+00	-1.242423450434829935e+00
6.450000000000233769e+00	-9.989019642376930630e-01
6.500000000000234479e+00	-7.468473164498330430e-01
6.550000000000235190e+00	-4.925012021542085616e-01
6.600000000000235900e+00	-2.417055001220482779e-01
